City,Price,Bedroom,Bathroom,Floors,Area,Road_Width,Road_Type,Neighborhood,Amenities_Count,Property_Age
Kathmandu,90000000,6,3,2,16,20,Paved,budhanilkantha,16,9
Kathmandu,80000000,5,3,2,21,20,Paved,budhanilkantha,15,9
Kathmandu,70000000,5,3,2,17,20,Paved,dhapasi,16,11
Kathmandu,130000000,6,4,3,10.25,20,Paved,baluwatar,16,65
Kathmandu,100000000,6,3,2,19.5,20,Paved,golfutar,16,12
Kathmandu,100000000,5,6,3,12.8125,13,Paved,banasthali,16,8
Lalitpur,11000000,3,4,3,3.3125,11,Gravelled,lubhu,2,63
Kathmandu,50000000,5,4,2,9.25,20,Paved,budhanilkantha,16,9
Kathmandu,100000000,10,8,3.5,12.875,20,Paved,baluwatar,16,65
Kathmandu,32500000,6,4,2.5,4,12,Paved,sukedhara,13,17
Pokhara,32000000,4,5,3,14,15,Paved,lekhnath,2,7
Kathmandu,39900000,5,4,3,4.5,14,Paved,chapali,3,7
Kathmandu,15000000,2,2,1,5,12,Gravelled,budhanilkantha,1,8
Kathmandu,52500000,5,5,3,8,20,Paved,budhanilkantha,9,7
Kathmandu,26500000,6,6,3,4,13,Paved,budhanilkantha,1,6
Kathmandu,25500000,6,6,3,4,13,Gravelled,sitapaila,1,6
Kathmandu,33000000,6,4,2.5,6,20,Paved,narephate,12,26
Kathmandu,18500000,4,4,3,6,13,Soil Stabilized,thankot,1,8
Kathmandu,62000000,7,4,3,10,0,Soil Stabilized,kalanki,0,8
Kathmandu,10500000,0,0,3,4,10,Soil Stabilized,kavresthali,0,8
Bhaktapur,20500000,7,3,3,3.5,10,Gravelled,sipadol,13,6
Bhaktapur,22000000,0,0,3,3.5,20,Paved,radhe radhe,0,8
Kathmandu,145000000,95,40,5,21,20,Paved,balaju,2,9
Kathmandu,55000000,5,6,3,19,20,Gravelled,budhanilkantha,2,11
Kathmandu,24000000,4,4,2.5,4,13,Paved,sitapaila,9,7
Kathmandu,37000000,6,6,3,6.1,32,Soil Stabilized,dhapasi,2,8
Kathmandu,102500000,6,6,3,19,13,Paved,golfutar,13,12
Lalitpur,22000000,7,4,3.5,4.5,13,Gravelled,imadol,13,6
Kathmandu,58500000,6,6,3,6.5,16,Paved,pepsicola,2,6
Lalitpur,18500000,4,3,2.5,3,13,Gravelled,imadol,7,6
Lalitpur,21000000,4,3,2.5,3.5,13,Gravelled,imadol,10,6
Lalitpur,17500000,5,3,3,3.125,13,Soil Stabilized,imadol,8,8
Kathmandu,130000000,5,6,3,10,15,Paved,baluwatar,17,8
Kathmandu,105000000,8,8,4,21,15,Paved,budhanilkantha,2,6
Kathmandu,105000000,5,5,3,64,15,Gravelled,budhanilkantha,19,12
Kathmandu,40000000,7,7,4,7,15,Paved,mandikatar,1,8
Kathmandu,26500000,6,6,3,5,14,Paved,hattigauda,1,7
Bhaktapur,15000,0,2,3.5,7.304601899,20,Paved,radhe radhe,8,6
Kathmandu,22500000,6,6,3,3.1,18,Paved,budhanilkantha,1,12
Kathmandu,60000000,6,6,3,11,15,Soil Stabilized,budhanilkantha,1,12
Kathmandu,235000000,6,5,3,30,15,Soil Stabilized,baluwatar,8,8
Kathmandu,40000000,9,6,4,9,13,Paved,tokha,1,13
Kathmandu,30000000,6,5,3,3.5,15,Paved,sukedhara,9,6
Kathmandu,65000000,6,6,3,12,14,Gravelled,maligaon,10,12
Kathmandu,33000000,5,6,3,5,13,Paved,budhanilkantha,2,12
Kathmandu,30500000,5,5,2,4,13,Paved,budhanilkantha,1,12
Kathmandu,28000000,6,6,3,4,13,Paved,budhanilkantha,1,6
Kathmandu,41000000,10,5,4,4,26,Paved,tokha,1,7
Kathmandu,27000000,6,6,3,4.5,14,Gravelled,budhanilkantha,2,6
Kathmandu,22000000,5,5,3,3.1,13,Soil Stabilized,tokha,1,6
Kathmandu,37000000,5,5,3,8,15,Paved,budhanilkantha,7,11
Kathmandu,46000000,4,3,2.5,6.75,13,Paved,height,15,8
Kathmandu,22500000,5,3,3,4,13,Soil Stabilized,naikap,9,8
Bhaktapur,29000000,3,3,2,4.5,20,Paved,balkot,17,12
Kathmandu,31000000,3,4,3,3,19.68504,Paved,naya bazar,4,64
Kathmandu,42500000,0,0,3,5.3125,29,Soil Stabilized,satungal,0,8
Kathmandu,37500000,5,5,3,5,0,Soil Stabilized,budhanilkantha,10,8
Kathmandu,105000000,4,3,3,64,20,Soil Stabilized,budhanilkantha,12,8
Kathmandu,80000000,4,5,3,9.9375,13,Gravelled,baluwatar,15,6
Lalitpur,25000000,3,4,2,4.5,13,Gravelled,nakhundol,7,6
Bhaktapur,32500000,4,4,2,7,20,Paved,bhaktapur,13,65
Kathmandu,21000000,5,3,3,5,12,Paved,jorpati,7,6
Kathmandu,120000000,0,0,3,31,20,Soil Stabilized,raniban,0,8
Chitwan,7700000,4,2,2,6,16,Gravelled,ratnanagar,6,65
Kathmandu,20000000,7,3,2.5,4.3125,10,Gravelled,makalbari,12,15
Bhaktapur,19000000,7,4,3.5,3,20,Gravelled,sipadol,11,6
Kathmandu,33500000,0,4,3,4,18,Paved,budhanilkantha,19,8
Kathmandu,37000000,0,0,3,5.125,13,Paved,mhepi,0,8
Kathmandu,36000000,0,0,3,7.5,20,Soil Stabilized,pasikot,0,8
Kathmandu,40000000,8,4,3,5,12,Paved,dhapasi,12,14
Lalitpur,12500000,2,1,1,3,20,Gravelled,imadol,8,6
Lalitpur,19500000,5,3,2.5,3.25,20,Gravelled,imadol,12,6
Lalitpur,22000000,5,3,2.5,3.5,20,Gravelled,imadol,10,6
Lalitpur,21500000,4,3,2.5,4,20,Gravelled,imadol,9,6
Lalitpur,19500000,4,3,2.5,3.5,20,Gravelled,imadol,9,6
Lalitpur,19000000,4,3,2.5,3,13,Gravelled,buddha party palace,8,6
Lalitpur,18000000,4,3,2.5,3,13,Gravelled,buddha party palace,0,6
Kathmandu,37000000,8,5,3,5.4375,12,Gravelled,swayambhu,4,5
Kathmandu,34000000,6,3,3,4,12,Gravelled,swayambhu,5,5
Kathmandu,26000000,8,4,3,4.125,16,Gravelled,manamaiju,11,7
Kathmandu,22000000,5,3,3,6.5,10,Soil Stabilized,syuchatar,4,8
Kathmandu,23000000,7,3,3,4,10,Soil Stabilized,kavresthali,1,8
Kathmandu,15500000,5,2,3,3.625,13,Soil Stabilized,goldhunga,1,8
Kathmandu,57500000,0,0,3,6.25,12,Paved,maharajgunj,0,8
Kathmandu,90000000,5,5,3,10,20,Soil Stabilized,baluwatar,7,8
Kathmandu,17000000,4,3,2.5,4,10,Paved,kalanki,11,6
Lalitpur,12500000,2,1,1.5,3.25,13,Gravelled,imadol,6,6
Bhaktapur,2100000,0,0,3,5,20,Gravelled,sirutar,2,8
Kathmandu,45000000,4,4,3,11,22,Soil Stabilized,budhanilkantha,13,8
Lalitpur,12500000,2,1,1.5,3,13,Gravelled,tikathali,3,6
Lalitpur,19000000,4,3,2.5,3.5,13,Gravelled,imadol,9,6
Kathmandu,32000000,0,0,3,10,20,Soil Stabilized,pasikot,0,8
Kathmandu,15500000,2,1,1.5,4,20,Gravelled,planning,0,6
Kathmandu,3000000,0,0,3,12,16,Paved,budhanilkantha,0,8
Kathmandu,2350000,0,0,3,5,13,Paved,thankot,0,8
Kathmandu,4100000,0,0,3,4,13,Soil Stabilized,golfutar,0,8
Kathmandu,200000,0,0,3,10,20,Soil Stabilized,ring road,0,8
Kathmandu,3500000,0,0,3,6.1,12,Paved,gaurighat,0,8
Kathmandu,30000,2,1,3,4,11,Soil Stabilized,budhanilkantha,0,8
Kathmandu,1500000,0,0,3,7,58,Paved,jhor,0,8
Kathmandu,1100000,0,0,3,4,10,Soil Stabilized,kavresthali,0,8
Kathmandu,8500000,0,0,3,5.5,13,Soil Stabilized,chabahil,0,8
Kathmandu,2850000,0,0,3,4,10,Soil Stabilized,kavresthali,0,8
Kathmandu,1450000,0,0,3,5,20,Soil Stabilized,dharmasthali,0,8
Kathmandu,3500000,0,0,3,10,30,Paved,budhanilkantha,0,8
Kathmandu,1000000,0,0,3,3,26,Soil Stabilized,dillibazar,1,8
